路線,駅番号,事業者,駅名,駅名よみ,駅間キロ,営業キロ,所在地住所,所在地緯度,所在地経度
東山線,H01,1,高畑,たかばた,-,0,名古屋市中川区高畑三丁目151,北緯35度8分22秒,東経136度51分12.7秒
東山線,H02,1,八田,はった,0.9,0.9,名古屋市中村区八田町字長田,北緯35度8分56秒,東経136度51分8秒
東山線,H03,1,岩塚,いわつか,1.1,2,名古屋市中村区岩塚町字向田37-1,北緯35度9分29秒,東経136度51分16秒
東山線,H04,1,中村公園,なかむらこうえん,1.1,3.1,名古屋市中村区豊国通一丁目3,北緯35度10分4.2秒,東経136度51分18.5秒
東山線,H05,1,中村日赤,なかむらにっせき,0.8,3.9,名古屋市中村区道下町三丁目35,北緯35度10分20.5秒,東経136度51分43秒
東山線,H06,1,本陣,ほんじん,0.7,4.6,名古屋市中村区鳥居通二丁目36,北緯35度10分38秒,東経136度52分1秒
東山線,H07,1,亀島,かめじま,0.9,5.5,名古屋市中村区亀島一丁目2-2,北緯35度10分39秒,東経136度52分37秒
東山線,H08,1,名古屋,なごや,1.1,6.6,名古屋市中村区名駅一丁目1-4,北緯35度10分14.498秒,東経136度52分53.893秒
東山線,H09,1,伏見,ふしみ,1.4,8,名古屋市中区錦二丁目16-24,北緯35度10分9秒,東経136度53分51秒
東山線,H10,1,栄,さかえ,1,9,名古屋市中区栄三丁目5-12,北緯35度10分11秒,東経136度54分31秒
東山線,H11,1,新栄町,しんさかえ,1.1,10.1,名古屋市東区葵一丁目19-23,北緯35度10分15秒,東経136度55分12秒
東山線,H12,1,千種,ちくさ,0.9,11,名古屋市千種区内山三丁目24-8,北緯35度10分12.6秒,東経136度55分50.3秒
東山線,H13,1,今池,いまいけ,0.7,11.7,名古屋市千種区今池五丁目1,北緯35度10分11.5秒,東経136度56分14秒
東山線,H14,1,池下,いけした,0.9,12.6,名古屋市千種区覚王山通7丁目11,北緯35度10分4.5秒,東経136度56分46秒
東山線,H15,1,覚王山,かくおうざん,0.6,13.2,名古屋市千種区末盛通1丁目7,北緯35度9分59.5秒,東経136度57分11秒
東山線,H16,1,本山,もとやま,1,14.2,名古屋市千種区四谷通一丁目18-1,北緯35度9分50秒,東経136度57分49秒
東山線,H17,1,東山公園,ひがしやまこうえん,0.9,15.1,名古屋市千種区東山通五丁目1,北緯35度9分38秒,東経136度58分23秒
東山線,H18,1,星ヶ丘,ほしがおか,1.1,16.2,名古屋市千種区井上町85-1,北緯35度9分44秒,東経136度59分6秒
東山線,H19,1,一社,いっしゃ,1.3,17.5,名古屋市名東区一社二丁目1,北緯35度10分6秒,東経136度59分46秒
東山線,H20,1,上社,かみやしろ,1.1,18.6,名古屋市名東区上社一丁目803,北緯35度10分25秒,東経137度0分24秒
東山線,H21,1,本郷,ほんごう,0.7,19.3,名古屋市名東区本郷二丁目153,北緯35度10分31秒,東経137度0分49秒
東山線,H22,1,藤が丘,ふじがおか,1.3,20.6,名古屋市名東区藤が丘163,北緯35度10分57秒,東経137度1分17秒
名城線,M01,1,金山,かなやま,-,0,名古屋市熱田区金山町一丁目1番18号,北緯35度8分35秒,東経136度54分3秒
名城線,M02,1,東別院,ひがしべついん,0.7,0.7,名古屋市中区大井町3-24,北緯35度9分1秒,東経136度54分17秒
名城線,M03,1,上前津,かみまえづ,0.9,1.6,名古屋市中区大須四丁目11-15,北緯35度9分26秒,東経136度54分24秒
名城線,M04,1,矢場町,やばちょう,0.7,2.3,名古屋市中区栄三丁目31-13,北緯35度9分49秒,東経136度54分32秒
名城線,M05,1,栄,,0.7,3
名城線,M06,1,久屋大通,ひさやおおどおり,0.4,3.4,名古屋市中区錦三丁目48,北緯35度10分25秒,東経136度54分30秒
名城線,M07,1,名古屋城,なごやじょう,0.9,4.3,名古屋市中区三の丸三丁目1番1号,北緯35度10分54秒,東経136度54分19秒
名城線,M08,1,名城公園,めいじょうこうえん,1.1,5.4,名古屋市北区名城二丁目1-26,北緯35度11分26秒,東経136度54分17秒
名城線,M09,1,黒川,くろかわ,1,6.4,名古屋市北区城見通3丁目13,北緯35度11分50秒,東経136度54分37秒
名城線,M10,1,志賀本通,しがほんどおり,1,7.4,名古屋市北区志賀本通二丁目47,北緯35度11分47秒,東経136度55分16秒
名城線,M11,1,平安通,へいあんどおり,0.8,8.2,名古屋市北区平安通一丁目15,北緯35度11分45秒,東経136度55分47秒
名城線,M12,1,大曽根,おおぞね,0.7,8.9,名古屋市東区東大曽根町46-6,北緯35度11分24.41秒,東経136度56分13.79秒
名城線,M13,1,ナゴヤドーム前矢田,ナゴヤドームまえやだ,0.8,9.7,名古屋市東区矢田東1,北緯35度11分27秒,東経136度56分40秒
名城線,M14,1,砂田橋,すなだばし,0.9,10.6,名古屋市東区大幸四丁目16,北緯35度11分20秒,東経136度57分14.6秒
名城線,M15,1,茶屋ヶ坂,ちゃやがさか,0.9,11.5,名古屋市千種区茶屋が坂一丁目2116,北緯35度11分4.8秒,東経136度57分44秒
名城線,M16,1,自由ヶ丘,じゆうがおか,1.2,12.7,名古屋市千種区自由ケ丘三丁目11,北緯35度10分31.7秒,東経136度58分0.2秒
名城線,M17,1,本山,,1.4,14.1,
名城線,M18,1,名古屋大学,なごやだいがく,1,15.1,名古屋市千種区四谷通20,北緯35度9分16.7秒,東経136度58分0.4秒
名城線,M19,1,八事日赤,やごとにっせき,1.1,16.2,名古屋市昭和区山手通三丁目17,北緯35度8分41秒,東経136度57分53.6秒
名城線,M20,1,八事,やごと,1,17.2,名古屋市昭和区広路町字北石坂102,北緯35度8分12秒,東経136度57分51秒
名城線,M21,1,総合リハビリセンター,そうごうりはびりせんたー,1.3,18.5,名古屋市瑞穂区彌富町字月見ケ岡5,北緯35度7分50秒,東経136度57分16.4秒
名城線,M22,1,瑞穂運動場東,みずほうんどうじょうひがし,1,19.5,名古屋市瑞穂区八勝通三丁目18,北緯35度7分22秒,東経136度56分54.2秒
名城線,M23,1,新瑞橋,あらたまばし,1.2,20.7,名古屋市瑞穂区洲山町二丁目23,北緯35度7分4秒,東経136度56分12秒
名城線,M24,1,妙音通,みょうおんどおり,0.7,21.4,名古屋市瑞穂区妙音通三丁目9,北緯35度7分2秒,東経136度55分46秒
名城線,M25,1,堀田,ほりた,0.8,22.2,名古屋市瑞穂区苗代町25-18,北緯35度6分59.5秒,東経136度55分18.2秒
名城線,M26,1,熱田神宮伝馬町,あつたじんぐうてんまちょう,1.2,23.4,名古屋市熱田区伝馬二丁目1-1,北緯35度7分15秒,東経136度54分38秒
名城線,M27,1,熱田神宮西,あつたじんぐうにし,1,24.4,名古屋市熱田区神宮一丁目1-4,北緯35度7分40秒,東経136度54分24秒
名城線,M28,1,西高蔵,にしたかくら,0.9,25.3,名古屋市熱田区五本松町9-34,北緯35度8分4秒,東経136度54分7秒
名城線,M01,1,金山,,1.1,26.4
名港線,E01,1,金山,,-,0
名港線,E02,1,日比野,ひびの,1.5,1.5,名古屋市熱田区大宝一丁目3-18,北緯35度7分58秒,東経136度53分35.3秒
名港線,E03,1,六番町,ろくばんちょう,1.1,2.6,名古屋市熱田区四番一丁目10-12,北緯35度7分27秒,東経136度53分18.2秒
名港線,E04,1,東海通,とうかいどおり,1.2,3.8,名古屋市港区東海通三丁目177,北緯35度6分48秒,東経136度53分9.8秒
名港線,E05,1,港区役所,みなとくやくしょ,0.8,4.6,名古屋市港区港楽一丁目14-20,北緯35度6分22.8秒,東経136度53分4.8秒
名港線,E06,1,築地口,つきじぐち,0.8,5.4,名古屋市港区港楽三丁目4-13,北緯35度5分58.8秒,東経136度52分59.8秒
名港線,E07,1,名古屋港,なごやこう,0.6,6,名古屋市港区入船一丁目8番23号,北緯35度5分35秒,東経136度52分55秒
鶴舞線,T01,1,上小田井,かみおたい,-,0,名古屋市西区貴生町90,北緯35度13分24秒,東経136度52分37秒
鶴舞線,T02,1,庄内緑地公園,しょうないりょくちこうえん,1.4,1.4,名古屋市西区山田町大字上小田井字東古川3129,北緯35度12分55秒,東経136度53分13秒
鶴舞線,T03,1,庄内通,しょうないどおり,1.3,2.7,名古屋市西区庄内通三丁目12,北緯35度12分16秒,東経136度53分28秒
鶴舞線,T04,1,浄心,じょうしん,1.4,4.1,名古屋市西区城西四丁目3208,北緯35度11分32秒,東経136度53分27秒
鶴舞線,T05,1,浅間町,せんげんちょう,0.8,4.9,名古屋市西区浅間一丁目206,北緯35度11分1秒,東経136度53分25.3秒
鶴舞線,T06,1,丸の内,まるのうち,1.4,6.3,名古屋市中区丸の内二丁目16-1,北緯35度10分24秒,東経136度53分50秒
鶴舞線,T07,1,伏見,,0.7,7,
鶴舞線,T08,1,大須観音,おおすかんのん,0.8,7.8,名古屋市中区大須二丁目10-39,北緯35度9分39秒,東経136度53分53.7秒
鶴舞線,T09,1,上前津,,1,8.8,
鶴舞線,T10,1,鶴舞,つるまい,0.9,9.7,名古屋市中区千代田五丁目23-24,北緯35度9分23.072秒,東経136度55分2.801秒
鶴舞線,T11,1,荒畑,あらはた,1.3,11,名古屋市昭和区鶴舞四丁目17-22,北緯35度8分59秒,東経136度55分32秒
鶴舞線,T12,1,御器所,ごきそ,0.9,11.9,名古屋市昭和区御器所通3丁目7,北緯35度08分58秒,東経136度56分04秒
鶴舞線,T13,1,川名,かわな,1.2,13.1,名古屋市昭和区広路通八丁目7,北緯35度8分55.4秒,東経136度56分54秒
鶴舞線,T14,1,いりなか,いりなか,1,14.1,名古屋市昭和区隼人町3-4,北緯35度8分36秒,東経136度57分19秒
鶴舞線,T15,1,八事,やごと,0.9,15
鶴舞線,T16,1,塩釜口,しおがまぐち,1.4,16.4,名古屋市天白区塩釜口一丁目834,北緯35度7分56.9秒,東経136度58分39.7秒
鶴舞線,T17,1,植田,うえだ,1.2,17.6,名古屋市天白区植田三丁目1001,北緯35度7分42.7秒,東経136度59分18秒
鶴舞線,T18,1,原,はら,0.8,18.4,名古屋市天白区原一丁目513,北緯35度7分33.6秒,東経136度59分49.7秒
鶴舞線,T19,1,平針,ひらばり,0.9,19.3,名古屋市天白区平針二丁目1301,北緯35度7分22.7秒,東経137度0分23秒
鶴舞線,T20,1,赤池,あかいけ,1.1,20.4,愛知県日進市赤池一丁目1503,北緯35度7分16秒,東経137度1分7秒
桜通線,S01,1,太閤通,たいこうどおり,-,0,名古屋市中村区太閤通三丁目27-3,北緯35度10分3.2秒,東経136度52分24秒
桜通線,S02,1,名古屋,,0.9,0.9,
桜通線,S03,1,国際センター,こくさいせんたー,0.7,1.6,名古屋市中村区名駅四丁目1,北緯35度10分20秒,東経136度53分22秒
桜通線,S04,1,丸の内,,0.8,2.4
桜通線,S05,1,久屋大通,,0.9,3.3
桜通線,S06,1,高岳,たかおか,0.7,4,名古屋市東区東桜二丁目1-2,北緯35度10分27秒,東経136度54分57秒
桜通線,S07,1,車道,くるまみち,1.3,5.3,名古屋市東区葵三丁目12,北緯35度10分24.3秒,東経136度55分46.8秒
桜通線,S08,1,今池,,1,6.3,
桜通線,S09,1,吹上,ふきあげ,1.1,7.4,名古屋市千種区千種通七丁目24-2,北緯35度9分32秒,東経136度56分7秒
桜通線,S10,1,御器所,,1,8.4
桜通線,S11,1,桜山,さくらやま,1.1,9.5,名古屋市瑞穂区桜見町1丁目1-14,北緯35度8分24秒,東経136度56分0秒
桜通線,S12,1,瑞穂区役所,みずほくやくしょ,0.9,10.4,名古屋市瑞穂区瑞穂通2丁目27,北緯35度07分54秒,東経136度56分04秒
桜通線,S13,1,瑞穂運動場西,みずほうんどうじょうにしｈ,0.7,11.1,名古屋市瑞穂区瑞穂通五丁目24,北緯35度7分30秒,東経136度56分8秒
桜通線,S14,1,新瑞橋,,0.7,11.8,
桜通線,S15,1,桜本町,さくらほんまち,1.1,12.9,名古屋市南区桜台一丁目1,北緯35度6分34秒,東経136度56分13秒
桜通線,S16,1,鶴里,つるさと,0.9,13.8,名古屋市南区鯛取通三丁目18-2,北緯35度6分20.3秒,東経136度56分37.7秒
桜通線,S17,1,野並,のなみ,1.1,14.9,名古屋市天白区野並,北緯35度6分7.20秒,東経136度57分20.52秒
桜通線,S18,1,鳴子北,なるこきた,1.1,16,名古屋市天白区相川一丁目1,北緯35度6分9.66秒,東経136度57分58.35秒
桜通線,S19,1,相生山,あいおいやま,0.9,16.9,名古屋市緑区相川三丁目61,北緯35度6分9.16秒,東経136度58分34.34秒
桜通線,S20,1,神沢,かみさわ,1.4,18.3,名古屋市緑区神沢一丁目303,北緯35度5分54.66秒,東経136度59分22.34秒
桜通線,S21,1,徳重,とくしげ,0.8,19.1,名古屋市緑区乗鞍二丁目102-1,北緯35度5分40.16秒,東経136度59分53.34秒
上飯田線,K01,1,上飯田,かみいいだ,,0,名古屋市北区上飯田通一丁目15,北緯35度12分13秒,東経136度55分46.7秒
上飯田線,K02,1,平安通,,0.8,0.8
リニモ,L01,2,藤が丘,,-,0
リニモ,L02,2,はなみずき通,はなみずきどおり,1.4,1.4,愛知県長久手市久保山,北緯35度10分39秒,東経137度2分8秒
リニモ,L03,2,杁ヶ池公園,いりがいけこうえん,0.9,2.3,愛知県長久手市杁ヶ池,北緯35度10分18.5秒,東経137度2分15.5秒
リニモ,L04,2,長久手古戦場,ながくてこせんじょう,1.1,3.4,愛知県長久手市横道41,北緯35度10分17秒,東経137度2分59秒
リニモ,L05,2,芸大通,げいだいどおり,1.1,4.5,愛知県長久手市岩作,北緯35度10分18秒,東経137度3分40秒
リニモ,L06,2,公園西,こうえんにし,1.5,6,愛知県長久手市丸山,北緯35度10分28秒,東経137度4分37秒
リニモ,L07,2,愛・地球博記念公園,あいちきゅうはくきねんこうえん,1,7,愛知県長久手市茨ヶ廻間,北緯35度10分39秒,東経137度5分15秒
リニモ,L08,2,陶磁資料館南,とうじしりょうかんみなみ,1,8,愛知県豊田市八草町,北緯35度10分46秒,東経137度5分50秒
リニモ,L09,2,八草,やくさ,0.9,8.9,愛知県豊田市八草町石坂795-6,北緯35度10分34秒,東経137度6分24秒
あおなみ線,AN01,3,名古屋,,-,0
あおなみ線,AN02,3,ささしまライブ,ささしまらいぶ,0.8,0.8,名古屋市中村区平池町四丁目51-1,北緯35度9分43秒,東経136度52分55秒
あおなみ線,AN03,3,小本,こもと,2.5,3.3,名古屋市中川区小本一丁目19-16,北緯35度8分57秒,東経136度51分41秒
あおなみ線,AN04,3,荒子,あらこ,1,4.3,名古屋市中川区吉良町138-2,北緯35度8分24秒,東経136度51分42.3秒
あおなみ線,AN05,3,南荒子,みなみあらこ,0.9,5.2,名古屋市中川区若山町二丁目59-2,北緯35度7分54秒,東経136度51分42.55秒
あおなみ線,AN06,3,中島,なかじま,0.7,5.9,名古屋市中川区掛入町三丁目24,北緯35度7分30秒,東経136度51分41秒
あおなみ線,AN07,3,港北,こうほく,1.2,7.1,名古屋市港区正保町五丁目3-1,北緯35度6分52秒,東経136度51分46秒
あおなみ線,AN08,3,荒子川公園,あらこがわこうえん,1.1,8.2,名古屋市港区寛政町五丁目39-1,北緯35度6分16秒,東経136度51分40.3秒
あおなみ線,AN09,3,稲永,いなえい,1.6,9.8,名古屋市港区稲永一丁目1-49,北緯35度5分29秒,東経136度51分48秒
あおなみ線,AN10,3,野跡,のせき,2.3,12.1,名古屋市港区野跡二丁目4-32,北緯35度4分31秒,東経136度51分15秒
あおなみ線,AN11,3,金城ふ頭,きんじょうふとう,3.1,15.2,名古屋市港区金城ふ頭三丁目2,北緯35度2分55.8秒,東経136度50分56.6秒
